127.0.0.1 - - [07/Dec/2020:10:23:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:23:04 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:23:33 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:24:13 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:24:15 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:26:41 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:27:40 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:28:17 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:28:28 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:29:28 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:29:39 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:31:03 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:31:12 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:31:45 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:37:18 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:37:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:38:05 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:41:57 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:42:58 +0900] "GET /exDay1207/Exam01.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:50:29 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:50:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:51:49 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:53:20 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:53:47 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:54:25 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:56:43 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:56:52 +0900] "GET /exDay1207/www.naver.com HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:56:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:57:30 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:58:30 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:58:37 +0900] "GET /exDay1207/Exam_01.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [07/Dec/2020:10:58:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:01:00 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:02:42 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:03:16 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:04:13 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:04:13 +0900] "GET /exDay1207/aaa.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:04:54 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:04:54 +0900] "GET /Users/uneko/Downloads/IMG_0815.JPG HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:05:33 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:05:33 +0900] "GET /exDay1207/IMG_0815.JPG HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:05:49 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:05:49 +0900] "GET /exDay1207/IMG_0815.JPG HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:06:02 +0900] "GET /exDay1207/Exam_02.jsp HTTP/1.1" 200 555
